PI (%),H (m),γ (kN/m³),Vs (m/s),αgR (g),PGA (g),PGD (cm)
13,64,20,424,0.65,0.47,115.91
2,71,16,550,0.95,0.53,33.98
32,31,23,373,0.1,0.14,0.25
0,48,20,583,0.55,0.7,18.05
16,83,19,490,0.25,0.31,6.47
12,24,17,293,0.5,0.58,16.16
7,92,17,167,0.6,0.08,139.81
22,18,19,173,0.05,0.11,0.39
36,97,13,469,0.8,0.49,26.41
41,41,19,241,0.1,0.11,0.23
45,90,18,499,0.8,0.57,26.26
42,91,13,525,0.35,0.42,23.6
38,37,16,290,0.95,0.55,36.71
57,47,18,305,0.2,0.25,0.36
44,63,18,329,0.6,0.45,111.06
11,85,15,101,0.55,0.04,54.69
18,25,16,157,0.1,0.11,0.24
21,61,14,389,0.45,0.32,8.65
22,83,24,229,0.6,0.12,140.3
39,29,23,237,0.55,0.51,19.26
51,75,16,467,0.45,0.43,7.71
32,21,17,255,0.4,0.44,7.21
41,33,18,566,0.4,0.61,4.83
46,36,13,131,0.9,0.19,36.42
35,70,16,163,0.95,0.16,55.16
17,87,16,382,0.45,0.34,9.89
7,100,16,419,0.3,0.25,14.67
26,68,21,537,0.7,0.67,112.84
25,70,13,265,0.95,0.25,39.43
48,22,12,602,0.2,0.29,0.36
39,15,21,239,0.8,0.81,26.18
29,24,17,224,0.8,0.43,26.16
50,48,15,358,0.85,0.56,27.91
46,49,20,639,0.9,1.02,30.31
39,29,21,129,0.7,0.2,167.43
54,90,16,188,0.7,0.1,163.48
25,89,21,448,0.9,0.43,32.27
5,97,13,455,0.85,0.42,28.28
59,99,14,491,0.4,0.47,7.05
32,96,13,493,0.4,0.44,7.34
10,19,15,298,0.5,0.75,16.31
4,43,13,178,0.15,0.16,1.39
34,39,22,502,0.6,0.63,94.53
30,29,15,372,0.75,0.69,118.23
37,38,14,170,0.7,0.21,164.37
40,81,20,454,0.25,0.32,6.47
26,23,18,180,0.9,0.31,35.21
31,73,22,484,0.35,0.32,22.53
37,58,16,357,1,0.52,38.61
9,34,24,230,0.45,0.23,9.88
33,82,16,535,0.75,0.55,126.85
7,80,12,433,0.8,0.41,26.4
43,16,12,484,0.4,0.68,4.82
56,57,12,328,0.2,0.25,0.38
53,54,15,403,0.6,0.67,99.27
29,58,23,369,0.2,0.23,0.31
44,73,22,577,0.4,0.52,5.71
54,45,21,649,0.45,0.51,5.59
14,66,16,458,0.5,0.49,17.32
